,question_output,sentence_input
0,"Why From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
1,"Do you know why From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
2,"What From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
3,"How From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
4,"When From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
5,"Where From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare.","From a comfort standpoint, polarized lenses are the most effective lenses for blocking glare."
6,"Why Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
7,"Do you know why Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
8,"What Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
9,"How Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
10,"When Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
11,"Where Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them.","Rapid and powerful, it is a smart, formidable hunter known to deploy clever tactics like working together to drive fish into shallow water and trap them."
12,"Why In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
13,"Do you know why In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
14,"What In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
15,"How In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
16,"When In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
17,"Where In basic terms, the foam is a composite metal foam.","In basic terms, the foam is a composite metal foam."
18,"Why In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
19,"Do you know why In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
20,"What In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
21,"How In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
22,"When In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
23,"Where In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities.","In the midwest, Chicago, Milwaukee, Omaha, and St. Louis are a few ShotSpotter-equipped cities."
24,"Why Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
25,"Do you know why Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
26,"What Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
27,"How Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
28,"When Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
29,"Where Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
30,"Why Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
31,"Do you know why Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
32,"What Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
33,"How Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
34,"When Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
35,"Where Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept.","Just like how you can control who sees your data with Snapchat and it disappears, it is the same idea with this concept."
36,Why Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
37,Do you know why Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
38,What Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
39,How Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
40,When Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
41,Where Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.,Vehicles armed with this new tech are the next step to giving cities across America an advanced defense against this serious threat.
42,Why These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
43,Do you know why These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
44,What These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
45,How These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
46,When These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
47,Where These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
48,Why These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
49,Do you know why These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
50,What These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
51,How These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
52,When These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
53,Where These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.,These boots are an excellent choice for for all sorts of hunting from treestand through to backcountry hunt.
54,Why Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
55,Do you know why Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
56,What Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
57,How Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
58,When Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
59,Where Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
60,Why Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
61,Do you know why Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
62,What Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
63,How Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
64,When Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
65,Where Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.,Every year there is an important series of briefings and meetings and the event is an invaluable opportunity for Army folks to connect and catch up.
66,Why And this small runway is the only area to land.,And this small runway is the only area to land.
67,Do you know why And this small runway is the only area to land.,And this small runway is the only area to land.
68,What And this small runway is the only area to land.,And this small runway is the only area to land.
69,How And this small runway is the only area to land.,And this small runway is the only area to land.
70,When And this small runway is the only area to land.,And this small runway is the only area to land.
71,Where And this small runway is the only area to land.,And this small runway is the only area to land.
72,"Why For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
73,"Do you know why For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
74,"What For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
75,"How For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
76,"When For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
77,"Where For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution.","For a solo operator who needs to carry full combat equipment and a heavy parachutist drop bag, this model is an ideal solution."
78,"Why With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
79,"Do you know why With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
80,"What With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
81,"How With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
82,"When With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
83,"Where With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone.","With maximum performance, craftsmanship and reliability, they are a great choice for concealed carry for anyone."
84,Why It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
85,Do you know why It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
86,What It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
87,How It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
88,When It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
89,Where It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
90,Why It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
91,Do you know why It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
92,What It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
93,How It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
94,When It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
95,Where It is a synthetic version of a chemical produced naturally by daisies.,It is a synthetic version of a chemical produced naturally by daisies.
96,"Why Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
97,"Do you know why Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
98,"What Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
99,"How Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
100,"When Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
101,"Where Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety.","Robust and ready to stick with you in extreme events, a tactical watch is a smart decision to help guide your way to safety."
102,"Why Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
103,"Do you know why Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
104,"What Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
105,"How Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
106,"When Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
107,"Where Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
108,"Why Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
109,"Do you know why Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
110,"What Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
111,"How Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
112,"When Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
113,"Where Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal.","Capable of a range of missions, the commercial jet-sized spy plane is a powerful weapon in the U.S. Navy's arsenal."
114,"Why Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
115,"Do you know why Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
116,"What Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
117,"How Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
118,"When Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
119,"Where Ambergris is a fatty, waxy-looking substance.","Ambergris is a fatty, waxy-looking substance."
120,"Why The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
121,"Do you know why The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
122,"What The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
123,"How The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
124,"When The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
125,"Where The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
126,"Why The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America.","The plane's creators, Bertrand Piccard and Borschberg, said the trip is the first attempt by a solar airplane capable of flying day and night without fuel to fly across America."
